"fips_rgs_id","fips_rgs_name","county_name","area_name"
6101,"Snohomish - Core Cities","Snohomish","Core Cities"
6102,"Snohomish - Larger Cities","Snohomish","Larger Cities"
6103,"Snohomish - Metropolitan Cities","Snohomish","Metropolitan Cities"
6104,"Snohomish - Rural","Snohomish","Rural"
6105,"Snohomish - Smaller Cities","Snohomish","Smaller Cities"
6106,"Snohomish - Unincorporated UGA","Snohomish","Unincorporated UGA"
3301,"King - Core Cities","King","Core Cities"
3302,"King - Larger Cities","King","Larger Cities"
3303,"King - Metropolitan Cities","King","Metropolitan Cities"
3304,"King - Rural","King","Rural"
3305,"King - Smaller Cities","King","Smaller Cities"
3306,"King - Unincorporated UGA","King","Unincorporated UGA"
3501,"Kitsap - Core Cities","Kitsap","Core Cities"
3503,"Kitsap - Larger Cities","Kitsap","Larger Cities"
3504,"Kitsap - Metropolitan Cities","Kitsap","Metropolitan Cities"
3505,"Kitsap - Rural","Kitsap","Rural"
3502,"Kitsap - Smaller Cities","Kitsap","Smaller Cities"
3506,"Kitsap - Unincorporated UGA","Kitsap","Unincorporated UGA"
5301,"Pierce - Core Cities","Pierce","Core Cities"
5302,"Pierce - Larger Cities","Pierce","Larger Cities"
5303,"Pierce - Metropolitan Cities","Pierce","Metropolitan Cities"
5304,"Pierce - Rural","Pierce","Rural"
5305,"Pierce - Smaller Cities","Pierce","Smaller Cities"
5306,"Pierce - Unincorporated UGA","Pierce","Unincorporated UGA"
